Timestamp,Position,40m X-wind (m/s),40m Y-wind (m/s),60m X-wind (m/s),60m Y-wind (m/s),80m X-wind (m/s),80m Y-wind (m/s),100m X-wind (m/s),100m Y-wind (m/s),120m X-wind (m/s),120m Y-wind (m/s),140m X-wind (m/s),140m Y-wind (m/s),160m X-wind (m/s),160m Y-wind (m/s),180m X-wind (m/s),180m Y-wind (m/s),200m X-wind (m/s),200m Y-wind (m/s)
2020-01-01 00:00:00,135.0,-1.9907828982418752,4.391877464038363,-2.70864571124134,5.377671283963767,-3.3754387320191825,6.192622802344157,-3.977612946190721,6.881408630793804,-4.645223494938739,7.563247202983496,-5.429165689930736,8.140022642514673,-6.2502674480553795,8.39997655833775,-6.699248534896126,7.924862280234412,-6.493199520511443,7.092855620671302
2020-01-01 01:00:00,135.0,-2.375985653560055,4.835355472901191,-3.2046463868225215,5.8618177470775725,-3.9662802869288134,6.577180658873553,-4.655345908607885,7.155365568544084,-5.498618225292263,7.667655685441023,-6.408423751328354,7.7347731137087985,-6.7108966524973495,6.9746992561105445,-6.433010361317717,6.036141870350713,-6.197321466524996,5.233416578108396
2020-01-01 02:00:00,135.03587563114536,-0.22766436353972827,3.885368588891837,-0.8667746478873259,4.721233324475142,-1.474393037470106,5.368696518735033,-2.0854724953494554,5.901016476215763,-2.7562370449109705,6.2991884134998575,-3.4170180706882856,6.412606165293636,-3.8513954291788437,6.241528567632213,-4.112167951102844,5.860658782885994,-4.321331650279033,5.354389317034268
2020-01-01 03:00:00,135.0,-0.36677205100956484,3.647906482465455,-1.0019458023379375,4.314821200850168,-1.5487444208289052,4.786471838469726,-1.9792093517534484,5.311755047821459,-2.437197130712,5.895298618490963,-3.026287991498404,6.394816153028709,-3.705875664187032,6.646925079702443,-4.1868453772582335,6.63890860786399,-4.286749468650367,6.319941551540931
2020-01-01 04:00:00,134.96412436885464,-1.295664629285144,3.9025229869784734,-1.7089604039330284,4.71042944459209,-2.0399067233590222,5.331907254849852,-2.3341480201966482,5.8702059526973125,-2.657030826468239,6.382267871379211,-3.0549266542652136,6.875741961201182,-3.588467180441136,7.316141908052083,-4.178995482327935,7.568874568163717,-4.56611241031091,7.415359287802324
2020-01-01 05:00:00,135.01196490295135,-1.5705530444030908,4.840214836479633,-1.9981010369582544,5.720077373039091,-2.401508641318807,6.336601169901616,-2.8094389789949514,6.834480989098658,-3.2978202605690075,7.2687327838341025,-3.832873969688908,7.661000797660179,-4.438411592661523,7.952457591066215,-5.122412656208433,7.972772400957174,-5.4545522467428755,7.471850571656476
2020-01-01 06:00:00,135.0,-1.8402682083997943,4.45108452950557,-2.1150441254651806,5.334680489101532,-2.4148896863370535,6.048161084529498,-2.761528442317913,6.674600212652863,-3.1134853801169498,7.294466772993086,-3.496945507708658,7.839199362041495,-3.9454742158426455,8.291600744284962,-4.519192450824037,8.601503189792636,-5.126993620414685,8.626304891015426
2020-01-01 07:00:00,135.0358565737052,-1.8973867197875265,4.957020451527189,-2.443891102257635,5.839549003984049,-2.9975946879150155,6.611469853917669,-3.517901460823372,7.20731925630812,-4.1050849933598945,7.717392031872491,-4.721814077025218,8.151310491367854,-5.414214608233737,8.51461673306771,-6.131460292164664,8.858069588313434,-6.795288446215125,9.20197742363876
2020-01-01 08:00:00,134.9641814804988,-1.94280286548156,4.601749005041134,-2.417435924648466,5.478477845582398,-2.8499286282833753,6.138078004775803,-3.282547890687169,6.76242371981958,-3.794596179357914,7.401155478906877,-4.337457415760156,7.968281772353458,-4.933209074024971,8.48757283098965,-5.588460864950921,8.939278853807327,-6.350386840010613,9.23389148315201
2020-01-01 09:00:00,135.0,-2.9271037135278544,5.309061007957566,-3.387936870026504,6.048462599469505,-3.76928222811672,6.6729793103448225,-4.064771087533166,7.167934217506627,-4.370583819628657,7.634321485411117,-4.731734482758631,8.134122015915109,-5.184242970822281,8.612659946949579,-5.676792838196277,9.052099734748007,-6.233340583554375,9.440982493368667
2020-01-01 10:00:00,135.0,-3.32635695329087,5.516174097664552,-3.7429203821656034,6.2716571125265235,-4.039618895966021,6.765299893842887,-4.2335514861995724,7.052202229299368,-4.467262208067955,7.266889065817419,-4.705837579617837,7.5195812101910775,-4.95507430997878,7.807099256900203,-5.284294055201707,8.089229564755852,-5.707744161358817,8.32183757961783
2020-01-01 11:00:00,135.0,-3.1417988322717574,5.246486730360935,-3.4825021231422486,5.879251592356702,-3.6564286093418223,6.171843418259007,-3.7329633757961798,6.326138004246314,-3.836233280254776,6.405199575371574,-3.9661133227176193,6.4166167728237795,-4.126344479830153,6.45389225053078,-4.3746401273885285,6.46305148619956,-4.7268004246284585,6.457051486199559
2020-01-01 12:00:00,135.0,-1.2910437898089173,3.9552553078556105,-1.4399599256900188,4.354189490445865,-1.5655549363057388,4.582072186836504,-1.6562383227176323,4.756671443736726,-1.7775756369426687,4.878607749469231,-1.8926685244161356,5.00205467091296,-2.0462478768577523,5.126268577494701,-2.312036358811035,5.267069532908719,-2.6340246815286696,5.377453290870478
2020-01-01 13:00:00,135.0358185195012,-0.892176970018571,3.6161793579198753,-1.0961512337490058,3.859077208808685,-1.2255099495887545,4.03793022021756,-1.3405027858848562,4.158633589811629,-1.5159822234014342,4.247451843990446,-1.7456513664101916,4.2605744229238445,-2.0327556381002903,4.2653443884319335,-2.390609976120978,4.2702570973733165,-2.8027378615017176,4.355374369859377
